66,20240716061300-20-3320200,濃霧注意報,倉敷市,2024-07-16 06:13:00+09,2024-07-16 09:35:00+09,0日03時22分00秒間
67,20240715145800-18-3320200,洪水注意報,倉敷市,2024-07-15 14:58:00+09,2024-07-15 16:48:00+09,0日01時50分00秒間
68,20240713100900-14-3320200,雷注意報,倉敷市,2024-07-13 10:09:00+09,2024-07-13 20:20:00+09,0日10時11分00秒間
69,20240712133200-14-3320200,雷注意報,倉敷市,2024-07-12 13:32:00+09,2024-07-12 18:32:00+09,0日05時00分00秒間
70,20240712022600-10-3320200,大雨注意報,倉敷市,2024-07-12 02:26:00+09,2024-07-12 11:20:00+09,0日08時54分00秒間
71,20240710042100-14-3320200,雷注意報,倉敷市,2024-07-10 04:21:00+09,2024-07-11 20:49:00+09,1日16時28分00秒間
72,20240710222400-18-3320200,洪水注意報,倉敷市,2024-07-10 22:24:00+09,2024-07-11 10:05:00+09,0日11時41分00秒間
73,20240710193700-10-3320200,大雨注意報,倉敷市,2024-07-10 19:37:00+09,2024-07-11 10:05:00+09,0日14時28分00秒間
74,20240709040900-14-3320200,雷注意報,倉敷市,2024-07-09 04:09:00+09,2024-07-09 22:23:00+09,0日18時14分00秒間
75,20240708101000-14-3320200,雷注意報,倉敷市,2024-07-08 10:10:00+09,2024-07-08 18:03:00+09,0日07時53分00秒間
76,20240706040900-14-3320200,雷注意報,倉敷市,2024-07-06 04:09:00+09,2024-07-06 18:17:00+09,0日14時08分00秒間
77,20240705040800-14-3320200,雷注意報,倉敷市,2024-07-05 04:08:00+09,2024-07-05 20:07:00+09,0日15時59分00秒間
78,20240704040800-14-3320200,雷注意報,倉敷市,2024-07-04 04:08:00+09,2024-07-04 17:55:00+09,0日13時47分00秒間
79,20240703032700-20-3320200,濃霧注意報,倉敷市,2024-07-03 03:27:00+09,2024-07-03 10:41:00+09,0日07時14分00秒間
80,20240701104300-10-3320200,大雨注意報,倉敷市,2024-07-01 10:43:00+09,2024-07-02 18:50:00+09,1日08時07分00秒間
81,20240629203300-14-3320200,雷注意報,倉敷市,2024-06-29 20:33:00+09,2024-07-02 18:50:00+09,2日22時17分00秒間
82,20240701104300-18-3320200,洪水注意報,倉敷市,2024-07-01 10:43:00+09,2024-07-01 16:59:00+09,0日06時16分00秒間
83,20240701045400-03-3320200,大雨警報,倉敷市,2024-07-01 04:54:00+09,2024-07-01 10:43:00+09,0日05時49分00秒間
84,20240701045400-04-3320200,洪水警報,倉敷市,2024-07-01 04:54:00+09,2024-07-01 10:43:00+09,0日05時49分00秒間
85,20240701035500-18-3320200,洪水注意報,倉敷市,2024-07-01 03:55:00+09,2024-07-01 04:54:00+09,0日00時59分00秒間
86,20240630204200-10-3320200,大雨注意報,倉敷市,2024-06-30 20:42:00+09,2024-07-01 04:54:00+09,0日08時12分00秒間
87,20240627211000-14-3320200,雷注意報,倉敷市,2024-06-27 21:10:00+09,2024-06-28 20:13:00+09,0日23時03分00秒間
88,20240627211000-10-3320200,大雨注意報,倉敷市,2024-06-27 21:10:00+09,2024-06-28 04:10:00+09,0日07時00分00秒間
89,20240626200700-14-3320200,雷注意報,倉敷市,2024-06-26 20:07:00+09,2024-06-27 04:21:00+09,0日08時14分00秒間
90,20240624155100-19-3320200,高潮注意報,倉敷市,2024-06-24 15:51:00+09,2024-06-25 04:08:00+09,0日12時17分00秒間
91,20240623133700-19-3320200,高潮注意報,倉敷市,2024-06-23 13:37:00+09,2024-06-24 02:44:00+09,0日13時07分00秒間
92,20240622144800-10-3320200,大雨注意報,倉敷市,2024-06-22 14:48:00+09,2024-06-23 22:20:00+09,1日07時32分00秒間
