0,1,2,3,4,5,6
1986,20170120035000-14-3320200,雷注意報,倉敷市,2017-01-20 03:50:00+09,2017-01-21 04:31:00+09,1日00時41分00秒間
1987,20170120035000-16-3320200,波浪注意報,倉敷市,2017-01-20 03:50:00+09,2017-01-21 04:31:00+09,1日00時41分00秒間
1988,20170120035000-15-3320200,強風注意報,倉敷市,2017-01-20 03:50:00+09,2017-01-20 22:27:00+09,0日18時37分00秒間
1989,20170117222100-20-3320200,濃霧注意報,倉敷市,2017-01-17 22:21:00+09,2017-01-18 09:51:00+09,0日11時30分00秒間
1990,20170114054000-14-3320200,雷注意報,倉敷市,2017-01-14 05:40:00+09,2017-01-16 04:34:00+09,1日22時54分00秒間
1991,20170115102500-15-3320200,強風注意報,倉敷市,2017-01-15 10:25:00+09,2017-01-15 16:20:00+09,0日05時55分00秒間
1992,20170113043200-16-3320200,波浪注意報,倉敷市,2017-01-13 04:32:00+09,2017-01-15 16:20:00+09,2日11時48分00秒間
1993,20170114163000-13-3320200,風雪注意報,倉敷市,2017-01-14 16:30:00+09,2017-01-15 10:25:00+09,0日17時55分00秒間
1994,20170113043200-21-3320200,乾燥注意報,倉敷市,2017-01-13 04:32:00+09,2017-01-14 22:05:00+09,1日17時33分00秒間
1995,20170113043200-15-3320200,強風注意報,倉敷市,2017-01-13 04:32:00+09,2017-01-14 16:30:00+09,1日11時58分00秒間
1996,20170109102000-15-3320200,強風注意報,倉敷市,2017-01-09 10:20:00+09,2017-01-09 20:05:00+09,0日09時45分00秒間
1997,20170109102000-16-3320200,波浪注意報,倉敷市,2017-01-09 10:20:00+09,2017-01-09 20:05:00+09,0日09時45分00秒間
1998,20170103210000-20-3320200,濃霧注意報,倉敷市,2017-01-03 21:00:00+09,2017-01-04 10:25:00+09,0日13時25分00秒間
1999,20170103031700-20-3320200,濃霧注意報,倉敷市,2017-01-03 03:17:00+09,2017-01-03 10:22:00+09,0日07時05分00秒間
2000,20170102040500-20-3320200,濃霧注意報,倉敷市,2017-01-02 04:05:00+09,2017-01-02 10:15:00+09,0日06時10分00秒間
