1,2,3,4,5,6
20131219073500-14-3320200,雷注意報,倉敷市,2013-12-19 07:35:00+09,2013-12-20 16:32:00+09,1日08時57分00秒間
20140120102700-14-3320200,雷注意報,倉敷市,2014-01-20 10:27:00+09,2014-01-20 20:45:00+09,0日10時18分00秒間
20140121163200-14-3320200,雷注意報,倉敷市,2014-01-21 16:32:00+09,2014-01-22 04:23:00+09,0日11時51分00秒間
20140125162000-14-3320200,雷注意報,倉敷市,2014-01-25 16:20:00+09,2014-01-26 04:19:00+09,0日11時59分00秒間
20140314103400-14-3320200,雷注意報,倉敷市,2014-03-14 10:34:00+09,2014-03-14 21:30:00+09,0日10時56分00秒間
20140320163000-14-3320200,雷注意報,倉敷市,2014-03-20 16:30:00+09,2014-03-21 10:10:00+09,0日17時40分00秒間
20140326042100-14-3320200,雷注意報,倉敷市,2014-03-26 04:21:00+09,2014-03-26 22:24:00+09,0日18時03分00秒間
20140329162200-14-3320200,雷注意報,倉敷市,2014-03-29 16:22:00+09,2014-03-30 10:28:00+09,0日18時06分00秒間
20140403102200-14-3320200,雷注意報,倉敷市,2014-04-03 10:22:00+09,2014-04-04 10:39:00+09,1日00時17分00秒間
20140405102400-14-3320200,雷注意報,倉敷市,2014-04-05 10:24:00+09,2014-04-06 15:10:00+09,1日04時46分00秒間
20140429043300-14-3320200,雷注意報,倉敷市,2014-04-29 04:33:00+09,2014-04-29 23:07:00+09,0日18時34分00秒間
20140430180300-14-3320200,雷注意報,倉敷市,2014-04-30 18:03:00+09,2014-05-01 04:27:00+09,0日10時24分00秒間
20140508101200-14-3320200,雷注意報,倉敷市,2014-05-08 10:12:00+09,2014-05-08 22:55:00+09,0日12時43分00秒間
20140522101500-14-3320200,雷注意報,倉敷市,2014-05-22 10:15:00+09,2014-05-22 20:10:00+09,0日09時55分00秒間
20140528161600-14-3320200,雷注意報,倉敷市,2014-05-28 16:16:00+09,2014-05-29 05:25:00+09,0日13時09分00秒間
20140530102500-14-3320200,雷注意報,倉敷市,2014-05-30 10:25:00+09,2014-05-30 20:35:00+09,0日10時10分00秒間
20140606160800-14-3320200,雷注意報,倉敷市,2014-06-06 16:08:00+09,2014-06-06 22:11:00+09,0日06時03分00秒間
20140607101000-14-3320200,雷注意報,倉敷市,2014-06-07 10:10:00+09,2014-06-07 20:31:00+09,0日10時21分00秒間
20140608101700-14-3320200,雷注意報,倉敷市,2014-06-08 10:17:00+09,2014-06-08 22:29:00+09,0日12時12分00秒間
20140609042700-14-3320200,雷注意報,倉敷市,2014-06-09 04:27:00+09,2014-06-09 20:32:00+09,0日16時05分00秒間
20140610101100-14-3320200,雷注意報,倉敷市,2014-06-10 10:11:00+09,2014-06-10 20:35:00+09,0日10時24分00秒間
20140611133800-14-3320200,雷注意報,倉敷市,2014-06-11 13:38:00+09,2014-06-11 21:07:00+09,0日07時29分00秒間
20140612041000-14-3320200,雷注意報,倉敷市,2014-06-12 04:10:00+09,2014-06-12 21:53:00+09,0日17時43分00秒間
20140615172800-14-3320200,雷注意報,倉敷市,2014-06-15 17:28:00+09,2014-06-15 20:18:00+09,0日02時50分00秒間
20140616184800-14-3320200,雷注意報,倉敷市,2014-06-16 18:48:00+09,2014-06-16 21:20:00+09,0日02時32分00秒間
20140619175200-14-3320200,雷注意報,倉敷市,2014-06-19 17:52:00+09,2014-06-19 22:05:00+09,0日04時13分00秒間
20140620101800-14-3320200,雷注意報,倉敷市,2014-06-20 10:18:00+09,2014-06-20 22:08:00+09,0日11時50分00秒間
20140624021800-14-3320200,雷注意報,倉敷市,2014-06-24 02:18:00+09,2014-06-24 21:54:00+09,0日19時36分00秒間
20140625101500-14-3320200,雷注意報,倉敷市,2014-06-25 10:15:00+09,2014-06-25 20:29:00+09,0日10時14分00秒間
20140626161000-14-3320200,雷注意報,倉敷市,2014-06-26 16:10:00+09,2014-06-26 20:42:00+09,0日04時32分00秒間
20140628162400-14-3320200,雷注意報,倉敷市,2014-06-28 16:24:00+09,2014-06-28 21:28:00+09,0日05時04分00秒間
20140629140900-14-3320200,雷注意報,倉敷市,2014-06-29 14:09:00+09,2014-06-29 19:50:00+09,0日05時41分00秒間
20140630101000-14-3320200,雷注意報,倉敷市,2014-06-30 10:10:00+09,2014-06-30 21:22:00+09,0日11時12分00秒間
20140701101000-14-3320200,雷注意報,倉敷市,2014-07-01 10:10:00+09,2014-07-01 21:00:00+09,0日10時50分00秒間
20140707024000-14-3320200,雷注意報,倉敷市,2014-07-07 02:40:00+09,2014-07-08 21:37:00+09,1日18時57分00秒間
20140709102200-14-3320200,雷注意報,倉敷市,2014-07-09 10:22:00+09,2014-07-09 18:13:00+09,0日07時51分00秒間
20140711134500-14-3320200,雷注意報,倉敷市,2014-07-11 13:45:00+09,2014-07-11 18:20:00+09,0日04時35分00秒間
20140713014100-14-3320200,雷注意報,倉敷市,2014-07-13 01:41:00+09,2014-07-13 16:16:00+09,0日14時35分00秒間
