1,2,3,4,5,6
20200618153500-18-3320200,洪水注意報,倉敷市,2020-06-18 15:35:00+09,2020-06-19 00:55:00+09,0日09時20分00秒間
20200619070600-18-3320200,洪水注意報,倉敷市,2020-06-19 07:06:00+09,2020-06-19 10:35:00+09,0日03時29分00秒間
20200706183000-18-3320200,洪水注意報,倉敷市,2020-07-06 18:30:00+09,2020-07-07 10:17:00+09,0日15時47分00秒間
20200707181500-18-3320200,洪水注意報,倉敷市,2020-07-07 18:15:00+09,2020-07-08 02:31:00+09,0日08時16分00秒間
20200708053500-18-3320200,洪水注意報,倉敷市,2020-07-08 05:35:00+09,2020-07-08 11:05:00+09,0日05時30分00秒間
20200711040600-18-3320200,洪水注意報,倉敷市,2020-07-11 04:06:00+09,2020-07-11 07:07:00+09,0日03時01分00秒間
20200713214000-18-3320200,洪水注意報,倉敷市,2020-07-13 21:40:00+09,2020-07-14 07:21:00+09,0日09時41分00秒間
20200714163700-18-3320200,洪水注意報,倉敷市,2020-07-14 16:37:00+09,2020-07-14 18:38:00+09,0日02時01分00秒間
20200715155900-18-3320200,洪水注意報,倉敷市,2020-07-15 15:59:00+09,2020-07-15 20:34:00+09,0日04時35分00秒間
20200725014700-18-3320200,洪水注意報,倉敷市,2020-07-25 01:47:00+09,2020-07-25 04:15:00+09,0日02時28分00秒間
20200729134100-18-3320200,洪水注意報,倉敷市,2020-07-29 13:41:00+09,2020-07-29 14:03:00+09,0日00時22分00秒間
20200730160600-18-3320200,洪水注意報,倉敷市,2020-07-30 16:06:00+09,2020-07-30 17:40:00+09,0日01時34分00秒間
20200730184800-18-3320200,洪水注意報,倉敷市,2020-07-30 18:48:00+09,2020-07-30 19:35:00+09,0日00時47分00秒間
20200731173900-18-3320200,洪水注意報,倉敷市,2020-07-31 17:39:00+09,2020-07-31 18:33:00+09,0日00時54分00秒間
20200731191200-18-3320200,洪水注意報,倉敷市,2020-07-31 19:12:00+09,2020-07-31 21:09:00+09,0日01時57分00秒間
20200906233300-18-3320200,洪水注意報,倉敷市,2020-09-06 23:33:00+09,2020-09-07 04:10:00+09,0日04時37分00秒間
20200925064600-18-3320200,洪水注意報,倉敷市,2020-09-25 06:46:00+09,2020-09-25 11:43:00+09,0日04時57分00秒間
20201022195300-18-3320200,洪水注意報,倉敷市,2020-10-22 19:53:00+09,2020-10-22 22:45:00+09,0日02時52分00秒間
20210517052900-18-3320200,洪水注意報,倉敷市,2021-05-17 05:29:00+09,2021-05-17 10:15:00+09,0日04時46分00秒間
20210619071300-18-3320200,洪水注意報,倉敷市,2021-06-19 07:13:00+09,2021-06-19 10:17:00+09,0日03時04分00秒間
20210623142600-18-3320200,洪水注意報,倉敷市,2021-06-23 14:26:00+09,2021-06-23 18:35:00+09,0日04時09分00秒間
20210629185400-18-3320200,洪水注意報,倉敷市,2021-06-29 18:54:00+09,2021-06-29 21:25:00+09,0日02時31分00秒間
