datetime,observed,predicted_06h,predicted_24h,predicted_48h
2023-04-17 08:00:00,452.0,366.5145491361618,317.07380324602127,348.951489508152
2023-04-17 09:00:00,474.0,384.6537746489048,323.77906024456024,364.6465816795826
2023-04-17 10:00:00,495.0,394.2540792822838,331.0000842809677,374.3850427865982
2023-04-17 11:00:00,481.0,391.0692713558674,348.41713601350784,384.8946705460549
2023-04-17 12:00:00,452.0,391.7128452658653,364.3818174600601,413.8684727549553
2023-04-17 13:00:00,353.0,392.38147234916687,357.93225985765457,428.4540448188782
2023-04-17 14:00:00,487.0,405.1481412053108,371.018981218338,391.184515953064
2023-04-17 15:00:00,524.0,423.3344609737396,371.4170054793358,355.11241456866264
2023-04-17 16:00:00,418.0,429.65651148557663,358.6973024010658,330.53707879781723
2023-04-17 17:00:00,350.0,389.9296017885208,330.7957474589348,306.2444655895233
2023-04-17 18:00:00,399.0,348.3716548681259,318.60777121782303,301.63304004073143
2023-04-17 19:00:00,279.0,326.9148181974888,304.3849919438362,310.2886330485344
2023-04-17 20:00:00,337.0,333.8132915496826,302.2242521047592,311.9623848795891
2023-04-17 21:00:00,339.0,336.4337249994278,300.45808190107346,290.6495432853699
2023-04-17 22:00:00,410.0,337.49673613905907,300.37354350090027,293.27256056666374
2023-04-17 23:00:00,356.0,340.38840052485466,301.1892634034157,294.4157133102417
2023-04-18 00:00:00,316.0,345.55853325128555,304.8762910962105,292.20369654893875
2023-04-18 01:00:00,292.0,342.9369577765465,301.2717747092247,296.6010352373123
2023-04-18 02:00:00,391.0,345.807494699955,302.34145241975784,298.46467727422714
2023-04-18 03:00:00,367.0,347.13077333569527,302.3743141889572,295.0932339131832
2023-04-18 04:00:00,328.0,352.9219678044319,308.5662880539894,302.0015286803245
2023-04-18 05:00:00,371.0,351.48078936338425,304.8919653892517,310.473384141922
2023-04-18 06:00:00,315.0,352.7198008298874,316.920429289341,311.880915671587
2023-04-18 07:00:00,439.0,370.28644356131554,342.01537215709686,323.81863141059875
2023-04-18 08:00:00,440.0,407.42157036066055,386.04129219055176,323.9804563522339
2023-04-18 09:00:00,510.0,428.9095414876938,396.9526557922363,338.52742797136307
2023-04-18 10:00:00,542.0,437.1094236969948,404.1829016804695,353.20590376853943
2023-04-18 11:00:00,475.0,442.8236599564552,403.8978236913681,345.1519152522087
2023-04-18 12:00:00,490.0,435.5282329916954,401.7699170708656,357.10731810331345
